topic,occurrences,terms
12,437883,"['trump', 'biden', 'vote', 'people', 'like', 'dont', 'amp', 'president', 'get', 'one']"
0,33491,"['trump', 'white', 'house', 'vote', 'trumps', 'covid', 'president', 'people', 'biden', 'proud']"
22,11718,"['trump', 'biden', 'covid', 'like', 'trumps', 'please', 'amp', 'go', 'take', 'country']"
11,8725,"['trump', 'donald', 'president', 'via', 'america', 'walter', 'reed', 'vote', 'going', 'people']"
24,2631,"['biden', 'trump', 'joe', 'hunter', 'vote', 'im', 'much', 'hes', 'trumps', 'people']"
15,1307,"['one', 'ha', 'trump', 'like', 'hes', 'biden', 'political', 'us', 'day', 'show']"
6,949,"['trump', 'im', 'lock', 'dont', 'like', 'amp', 'people', 'know', 'ballot', 'hes']"
7,881,"['trump', 'president', 'people', 'biden', 'know', 'new', 'trumps', 'election', 'england', 'vote']"
16,591,"['trump', 'people', 'vote', 'us', 'time', 'president', 'covid', 'wolf', 'bidenharris', 'keep']"
20,412,"['trump', 'armenia', 'azerbaijan', 'artsakh', 'people', 'like', 'person', 'civilians', 'us', 'years']"
