tweet_id,created_at,user_id_str,text,hashtags,retweet_count,favorite_count,in_reply_to_screen_name,source,retweeted,lang,place_name,screen_name,sentiment
1316612616278749185,2020-10-15 05:31:23,1302543822845607936,"in the face of hillary’s exposed coup plot, the benghazi seal team murders, and biden’s ukraine, russia and china pay-for-play corruption .... this is so freaking lame 🙄🙄 ",NA,0,0,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,en,NA,Packers75389682,-0.9
1320759972825866241,2020-10-26 16:11:30,1240294339630247936,"   well, if course it is. there's always going to be more alive than dead unless it has a 51%+ fatality rate, and if it did have, you'd be looking at the literal collapse of civilisation within 12 months.

what's your point? isn't a quarter of a million dead enough for you to care?",NA,0,1,BryteSydetwenty,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,NostromoCat,-0.9
1316480701026496514,2020-10-14 20:47:12,820936334667907073,"  trump can come up with any plan he wants, it won't matter. at the end of the day trump will still be the most hated president who has ever lived. trump is stupid enough to think icecube has clout over the black community and will sway voters his way???  no!",NA,0,0,rolandsmartin,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,LazzieLou24,-0.9
1319994361569042433,2020-10-24 13:29:14,620083834," except the several criminal indictments it produced and the fact a significant portion of your god emperor trump's sycophants are in jail now for, y'know, conspiring with russia.

but yeah if you just ignore everything, it was very rude! sad, even",NA,0,0,seanhannity,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,en,NA,TonyyKakuu,-0.9
1316743427535646720,2020-10-15 14:11:11,77500035,"    darlene i know trump is really messing it up over there and i really feel for you guys, but some of our rules are so stupid, the problem is mostly people gathering at home, so now they have the 'great' idea to keep all pubs cafes and restaurants closed, places that have spent a",NA,0,0,dacullington,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,LaineyMae99,-0.9
1311923766121975808,2020-10-02 06:59:34,3070877914,"  hope you and the flotus will get better soon!
the left is showing vile hatred because they do not understand what love means.we believe you love this country and as you hear at your rallies your supporters love you to.",NA,0,0,realDonaldTrump,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,PJoeaces,-0.9
1320222204450070528,2020-10-25 04:34:36,632394698," republicans behave as if trump took their commonsense, decency,+ loyalty+ m-hood! never was a supreme placed in close to an election. same republicans wouldn't allow pres obama to do so 9 months before. gops &amp; trump; god hates liars! traitors to our nation r not liked either!",NA,0,0,HuffPost,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,en,NA,Bev1Jill,-0.9
1321017514067898368,2020-10-27 09:14:53,922499013550669825,"  hi i'm gen z. i voted biden but i fucking hate the guy. you want to get more progressives on your side, don't voter shame. it's really arrogant, especially when a lot of people have legit problems with voting for him.",NA,4,245,HelenaBurke17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,thefirefridge,-0.9
1318081268219695104,2020-10-19 06:47:17,1244662091941904389, he is the worst businessman! look at his record! he doesn’t know government enough to run it. it cannot be run like a business accountable like him to no one. 12 employees. lawsuits up the wazzoo!,NA,0,0,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,LindaSu41238499,-0.9
1315032122248384512,2020-10-10 20:51:04,1187039187310129152,please listen ! i am calling out     and q. why are so many suffering! why do they leave me to be abused beyond belief! i’m done with this shit ! ,NA,1,0,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,aintgets2,-0.9
