tweet_id,created_at,user_id_str,text,hashtags,retweet_count,favorite_count,in_reply_to_screen_name,source,retweeted,lang,place_name,screen_name,tokens,filtered_tokens,features,topicDistribution,topic_distribution_array,main_topic
1313195696724602880,2020-10-05 19:13:46,953164013025873920,"nearly  americans have died from covid since october st when the president announced he had covid

they didnt receive the world class medical care he received many received no care at all

yet he has the audacity to tell us dont be afraid if covid

screw you trump",NA,1,2,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,Journeyman__jay,"['nearly', 'americans', 'have', 'died', 'from', 'covid', 'since', 'october', 'st', 'when', 'the', 'president', 'announced', 'he', 'had', 'covid', 'they', 'didnt', 'receive', 'the', 'world', 'class', 'medical', 'care', 'he', 'received', 'many', 'received', 'no', 'care', 'at', 'all', 'yet', 'he', 'has', 'the', 'audacity', 'to', 'tell', 'us', 'dont', 'be', 'afraid', 'if', 'covid', 'screw', 'you', 'trump']","['nearly', 'americans', 'died', 'covid', 'since', 'october', 'st', 'president', 'announced', 'covid', 'didnt', 'receive', 'world', 'class', 'medical', 'care', 'received', 'many', 'received', 'care', 'yet', 'audacity', 'tell', 'us', 'dont', 'afraid', 'covid', 'screw', 'trump']","(23173,[0,5,6,9,12,47,50,53,66,84,125,145,169,361,504,627,629,700,718,842,1275,1792,1993,2152,6179],[1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.001322482824922264,0.0012875939943532123,0.0012878457012822342,0.001286999685161777,0.0012869418027043522,0.0012881136095129252,0.0012899407843823573,0.0012903597942788662,0.0012865229168827503,0.001286620709040514,0.001286585473779353,0.00130145678207907,0.9690252689858265,0.0012866536533649858,0.0012866039225280486,0.0012908570267779046,0.0012890942027103018,0.001286730512145465,0.0012872990592652158,0.0012865281198436058,0.0012875511936226538,0.001286991222278554,0.0013061438500400196,0.0012865181081832312,0.001292296065033677]","[0.001322482824922264, 0.0012875939943532123, 0.0012878457012822342, 0.001286999685161777, 0.0012869418027043522, 0.0012881136095129252, 0.0012899407843823573, 0.0012903597942788662, 0.0012865229168827503, 0.001286620709040514, 0.001286585473779353, 0.00130145678207907, 0.9690252689858265, 0.0012866536533649858, 0.0012866039225280486, 0.0012908570267779046, 0.0012890942027103018, 0.001286730512145465, 0.0012872990592652158, 0.0012865281198436058, 0.0012875511936226538, 0.001286991222278554, 0.0013061438500400196, 0.0012865181081832312, 0.001292296065033677]",12
1322325849090199553,2020-10-30 23:53:44,17765119," he promised he would eliminate the nations debt in  years but instead its projected that trump will add at least  trillion to the national debt in 

for the sake of our children and grandchildren we must unite to restore the soul of america 

",NA,0,0,tedcruz,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,ammaschi,"['he', 'promised', 'he', 'would', 'eliminate', 'the', 'nations', 'debt', 'in', 'years', 'but', 'instead', 'its', 'projected', 'that', 'trump', 'will', 'add', 'at', 'least', 'trillion', 'to', 'the', 'national', 'debt', 'in', 'for', 'the', 'sake', 'of', 'our', 'children', 'and', 'grandchildren', 'we', 'must', 'unite', 'to', 'restore', 'the', 'soul', 'of', 'america']","['promised', 'eliminate', 'nations', 'debt', 'years', 'instead', 'projected', 'trump', 'add', 'least', 'trillion', 'national', 'debt', 'sake', 'children', 'grandchildren', 'must', 'unite', 'restore', 'soul', 'america']","(23173,[0,29,31,110,275,278,327,344,904,1010,1206,1509,1715,1771,2253,2775,2783,2805,4261,6616],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.001803828461804359,0.0017562411024374647,0.0017565844233711015,0.0017554304818349145,0.001755351531818886,0.0017569498425222875,0.0017594420563888697,0.001760013573830145,0.0017547801836348602,0.0017549135693110613,0.001754865509432824,0.0017751495454275412,0.9577513595262069,0.0017549585044201374,0.0017548906729906403,0.001760691784658977,0.0017582873433886236,0.0017550633375717853,0.001755838819471591,0.0017547872803171354,0.001756182723482044,0.00175541893869534,0.0017815425709414997,0.0017547736247020115,0.001762654591338935]","[0.001803828461804359, 0.0017562411024374647, 0.0017565844233711015, 0.0017554304818349145, 0.001755351531818886, 0.0017569498425222875, 0.0017594420563888697, 0.001760013573830145, 0.0017547801836348602, 0.0017549135693110613, 0.001754865509432824, 0.0017751495454275412, 0.9577513595262069, 0.0017549585044201374, 0.0017548906729906403, 0.001760691784658977, 0.0017582873433886236, 0.0017550633375717853, 0.001755838819471591, 0.0017547872803171354, 0.001756182723482044, 0.00175541893869534, 0.0017815425709414997, 0.0017547736247020115, 0.001762654591338935]",12
1312247511487262721,2020-10-03 04:26:01,794919487, ridiculous statement whoever is saying that   has taken care of himself those around him and the american people with a downsized campaign trump was irresponsible chose not to follow science and is in the middle of a spreader bubble you reap what you sow,NA,0,0,jentaub,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,Philadelphia,DonnaMEnn,"['ridiculous', 'statement', 'whoever', 'is', 'saying', 'that', 'has', 'taken', 'care', 'of', 'himself', 'those', 'around', 'him', 'and', 'the', 'american', 'people', 'with', 'a', 'downsized', 'campaign', 'trump', 'was', 'irresponsible', 'chose', 'not', 'to', 'follow', 'science', 'and', 'is', 'in', 'the', 'middle', 'of', 'a', 'spreader', 'bubble', 'you', 'reap', 'what', 'you', 'sow']","['ridiculous', 'statement', 'whoever', 'saying', 'taken', 'care', 'around', 'american', 'people', 'downsized', 'campaign', 'trump', 'irresponsible', 'chose', 'follow', 'science', 'middle', 'spreader', 'bubble', 'reap', 'sow']","(23173,[0,3,58,66,68,131,191,358,559,592,598,791,848,958,1628,1833,2476,3035,5459,5633],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.0018898079145744794,0.0018399523043892696,0.0018403119896528775,0.0018391030454922657,0.0018390203323338274,0.0018406948265048163,0.001843305831687024,0.0018439045904976052,0.0018384217508529165,0.0018385614943608986,0.0018385111437024834,0.0018597620180915819,0.9557375788053318,0.0018386085713073285,0.0018385375066963233,0.0018446151282101367,0.0018420960793379937,0.0018387184013245784,0.0018395308465828796,0.001838429185807635,0.0018398911427371688,0.0018390909521748234,0.0018664597669455938,0.0018384148792913153,0.0018466714921125523]","[0.0018898079145744794, 0.0018399523043892696, 0.0018403119896528775, 0.0018391030454922657, 0.0018390203323338274, 0.0018406948265048163, 0.001843305831687024, 0.0018439045904976052, 0.0018384217508529165, 0.0018385614943608986, 0.0018385111437024834, 0.0018597620180915819, 0.9557375788053318, 0.0018386085713073285, 0.0018385375066963233, 0.0018446151282101367, 0.0018420960793379937, 0.0018387184013245784, 0.0018395308465828796, 0.001838429185807635, 0.0018398911427371688, 0.0018390909521748234, 0.0018664597669455938, 0.0018384148792913153, 0.0018466714921125523]",12
1321945580734730241,2020-10-29 22:42:41,821883108635144193,    that damn hunter biden he just lost my vote i will not be voting for him on tuesday,NA,0,1,JamesRosenTV,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,demsdoinggood,"['that', 'damn', 'hunter', 'biden', 'he', 'just', 'lost', 'my', 'vote', 'i', 'will', 'not', 'be', 'voting', 'for', 'him', 'on', 'tuesday']","['damn', 'hunter', 'biden', 'lost', 'vote', 'voting', 'tuesday']","(23173,[1,2,40,64,206,439,1232],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.004968534135515033,0.004837457692006953,0.004838403348368802,0.004835224887582595,0.004835007424654847,0.004839409872868429,0.004846274522113134,0.004847848731533482,0.0048334336813582665,0.0048338010839828905,0.004833668706001377,0.004889539830582136,0.8836287279631623,0.00483392485501577,0.004833738017488717,0.004849716821348374,0.004843093936421769,0.00483421361140518,0.004836349628481791,0.004833453228738711,0.004837296890762845,0.004835193092757905,0.0049071490249914295,0.0048334156151940404,0.004855123397663182]","[0.004968534135515033, 0.004837457692006953, 0.004838403348368802, 0.004835224887582595, 0.004835007424654847, 0.004839409872868429, 0.004846274522113134, 0.004847848731533482, 0.0048334336813582665, 0.0048338010839828905, 0.004833668706001377, 0.004889539830582136, 0.8836287279631623, 0.00483392485501577, 0.004833738017488717, 0.004849716821348374, 0.004843093936421769, 0.00483421361140518, 0.004836349628481791, 0.004833453228738711, 0.004837296890762845, 0.004835193092757905, 0.0049071490249914295, 0.0048334156151940404, 0.004855123397663182]",12
1322349512417898496,2020-10-31 01:27:46,1317478386768379905,donald trump we are turning the corner  this is a gentleman in very serious condition billings montana  people are passing alone yet trump and his pathetic family say doctors are inflating death numbers and its not that many deaths fuck you donald trump please retweet ,NA,0,0,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,BillJorgensen10,"['donald', 'trump', 'we', 'are', 'turning', 'the', 'corner', 'this', 'is', 'a', 'gentleman', 'in', 'very', 'serious', 'condition', 'billings', 'montana', 'people', 'are', 'passing', 'alone', 'yet', 'trump', 'and', 'his', 'pathetic', 'family', 'say', 'doctors', 'are', 'inflating', 'death', 'numbers', 'and', 'its', 'not', 'that', 'many', 'deaths', 'fuck', 'you', 'donald', 'trump', 'please', 'retweet']","['donald', 'trump', 'turning', 'corner', 'gentleman', 'serious', 'condition', 'billings', 'montana', 'people', 'passing', 'alone', 'yet', 'trump', 'pathetic', 'family', 'say', 'doctors', 'inflating', 'death', 'numbers', 'many', 'deaths', 'fuck', 'donald', 'trump', 'please', 'retweet']","(23173,[0,3,32,35,50,61,74,169,237,267,288,542,561,564,739,745,1097,1375,1541,1748,3044,5699,5784,10808],[3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.001417014209573689,0.0013796315169753057,0.0013799012159346402,0.0013789947264172908,0.0013789327065185397,0.0013801882743541647,0.0013821460560995752,0.0013825950169284945,0.0013784838786364275,0.0013785886609926324,0.0013785509071087933,0.0013944852200583652,0.9668111879019126,0.0013786239601925683,0.0013785706745812214,0.001383127791748541,0.0013812389605766346,0.00137870631284743,0.0013793154998618358,0.0013784894534976681,0.0013795856568512969,0.001378985658613929,0.0013995073207443362,0.0013784787262029392,0.0013846696927712332]","[0.001417014209573689, 0.0013796315169753057, 0.0013799012159346402, 0.0013789947264172908, 0.0013789327065185397, 0.0013801882743541647, 0.0013821460560995752, 0.0013825950169284945, 0.0013784838786364275, 0.0013785886609926324, 0.0013785509071087933, 0.0013944852200583652, 0.9668111879019126, 0.0013786239601925683, 0.0013785706745812214, 0.001383127791748541, 0.0013812389605766346, 0.00137870631284743, 0.0013793154998618358, 0.0013784894534976681, 0.0013795856568512969, 0.001378985658613929, 0.0013995073207443362, 0.0013784787262029392, 0.0013846696927712332]",12
1315165557495197696,2020-10-11 05:41:18,1185581326780551169,"he lied and in the process committed perjury

when will he be prosecuted ",NA,0,0,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,en,NA,ColoradoIndepe1,"['he', 'lied', 'and', 'in', 'the', 'process', 'committed', 'perjury', 'when', 'will', 'he', 'be', 'prosecuted']","['lied', 'process', 'committed', 'perjury', 'prosecuted']","(23173,[515,1062,1676,2927,12961],[1.0,1.0,1.0,1.0,1.0])","[0.006630317342675682,0.006455400879328408,0.006456662821114736,0.006452421287543015,0.006452131091864838,0.0064580059891754275,0.00646716659902936,0.006469267320767387,0.006450030992112537,0.0064505212766314095,0.006450344623293304,0.0065249024863527905,0.8447070220142433,0.006450686444272094,0.006450437116808903,0.00647176021492923,0.006462922229886415,0.006451071778607728,0.006453922211294653,0.006450057077176029,0.006455186296030701,0.0064523788587145855,0.006548401277530788,0.0064500068834735975,0.006478974887142858]","[0.006630317342675682, 0.006455400879328408, 0.006456662821114736, 0.006452421287543015, 0.006452131091864838, 0.0064580059891754275, 0.00646716659902936, 0.006469267320767387, 0.006450030992112537, 0.0064505212766314095, 0.006450344623293304, 0.0065249024863527905, 0.8447070220142433, 0.006450686444272094, 0.006450437116808903, 0.00647176021492923, 0.006462922229886415, 0.006451071778607728, 0.006453922211294653, 0.006450057077176029, 0.006455186296030701, 0.0064523788587145855, 0.006548401277530788, 0.0064500068834735975, 0.006478974887142858]",12
1315648743534854145,2020-10-12 13:41:18,816685750456582145,  points downa landslide for joe and kamala,NA,0,0,realDonaldTrump,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,en,NA,JohnnyHundo60,"['points', 'downa', 'landslide', 'for', 'joe', 'and', 'kamala']","['points', 'downa', 'landslide', 'joe', 'kamala']","(23173,[11,122,778,816],[1.0,1.0,1.0,1.0])","[0.00796176996445459,0.007751728036365194,0.007753243392521286,0.007748150104739551,0.007747801633813723,0.007754856285923123,0.007765856463430848,0.007768379037234972,0.00774527980707099,0.00774586854715321,0.007745656419590351,0.007835186456036314,0.8135222035269862,0.007746066882544282,0.007745767487006193,0.007771372536156534,0.00776075977093929,0.00774652959692478,0.007749952432660628,0.007745311130548446,0.007751470362197584,0.007748099155496801,0.007863404105637316,0.007745250857159899,0.007780036007407886]","[0.00796176996445459, 0.007751728036365194, 0.007753243392521286, 0.007748150104739551, 0.007747801633813723, 0.007754856285923123, 0.007765856463430848, 0.007768379037234972, 0.00774527980707099, 0.00774586854715321, 0.007745656419590351, 0.007835186456036314, 0.8135222035269862, 0.007746066882544282, 0.007745767487006193, 0.007771372536156534, 0.00776075977093929, 0.00774652959692478, 0.007749952432660628, 0.007745311130548446, 0.007751470362197584, 0.007748099155496801, 0.007863404105637316, 0.007745250857159899, 0.007780036007407886]",12
1317226712405475329,2020-10-16 22:11:35,2501852168,"   rt amp get this going

prisonorangeday

trump is a criminal using government to block  ongoing investigations

unite oct  amp turn profile prison orange amp tell the president he isnt above the law amp must be held accountable for crimes including releasing dna
releasethedna","[""PrisonOrangeDay"", ""ReleaseTheDNA""]",0,2,Biden_Army,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,en,NA,Sjacobs2020,"['rt', 'amp', 'get', 'this', 'going', 'prisonorangeday', 'trump', 'is', 'a', 'criminal', 'using', 'government', 'to', 'block', 'ongoing', 'investigations', 'unite', 'oct', 'amp', 'turn', 'profile', 'prison', 'orange', 'amp', 'tell', 'the', 'president', 'he', 'isnt', 'above', 'the', 'law', 'amp', 'must', 'be', 'held', 'accountable', 'for', 'crimes', 'including', 'releasing', 'dna', 'releasethedna']","['rt', 'amp', 'get', 'going', 'prisonorangeday', 'trump', 'criminal', 'using', 'government', 'block', 'ongoing', 'investigations', 'unite', 'oct', 'amp', 'turn', 'profile', 'prison', 'orange', 'amp', 'tell', 'president', 'isnt', 'law', 'amp', 'must', 'held', 'accountable', 'crimes', 'including', 'releasing', 'dna', 'releasethedna']","(23173,[0,6,7,8,20,95,110,125,257,263,345,409,429,579,582,649,693,844,1203,1312,1326,1439,2529,2647,2775,3141,3925,4020,16729],[1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.0012021833375921627,0.0011704681652474132,0.0011706969756468976,0.0011699279173105707,0.0011698753001254192,0.0011709405136719304,0.0011726014797985489,0.0011729823745170662,0.0011694945182000524,0.001169583414704233,0.0011695513846165292,0.0011830699261460855,0.971842881577668,0.001169613362257763,0.001169568155180524,0.0011734343763237373,0.0011718319073341884,0.0011696832295788175,0.0011702000589232126,0.0011694992478727853,0.0011704292578810444,0.0011699202242616419,0.0011873306355573339,0.0011694901469271512,0.0011747425126566325]","[0.0012021833375921627, 0.0011704681652474132, 0.0011706969756468976, 0.0011699279173105707, 0.0011698753001254192, 0.0011709405136719304, 0.0011726014797985489, 0.0011729823745170662, 0.0011694945182000524, 0.001169583414704233, 0.0011695513846165292, 0.0011830699261460855, 0.971842881577668, 0.001169613362257763, 0.001169568155180524, 0.0011734343763237373, 0.0011718319073341884, 0.0011696832295788175, 0.0011702000589232126, 0.0011694992478727853, 0.0011704292578810444, 0.0011699202242616419, 0.0011873306355573339, 0.0011694901469271512, 0.0011747425126566325]",12
1322634185237057536,2020-10-31 20:18:57,136657927,because the world knows how important this election is corrupt lying  will destroy this country and leave our allies out to dry ,NA,0,0,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,DPH_78,"['because', 'the', 'world', 'knows', 'how', 'important', 'this', 'election', 'is', 'corrupt', 'lying', 'will', 'destroy', 'this', 'country', 'and', 'leave', 'our', 'allies', 'out', 'to', 'dry']","['world', 'knows', 'important', 'election', 'corrupt', 'lying', 'destroy', 'country', 'leave', 'allies', 'dry']","(23173,[18,38,84,178,203,252,453,469,661,1683,4696],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.003309558244552169,0.003222247759674031,0.0032228776647189755,0.0032207604807052512,0.0032206156278788674,0.0032235481142761997,0.003228120681494991,0.0032291692681892807,0.0032195673518781763,0.0032198120800696044,0.0032197239026273746,0.0032569398573272113,0.9224846822243679,0.0032198945243733586,0.003219770071255573,0.0032304136092913232,0.0032260020821080213,0.0032200868660599187,0.0032215096745782973,0.0032195803724635046,0.0032221406494258877,0.0032207393020599055,0.0032686694211752068,0.0032195553179350483,0.003234014851514125]","[0.003309558244552169, 0.003222247759674031, 0.0032228776647189755, 0.0032207604807052512, 0.0032206156278788674, 0.0032235481142761997, 0.003228120681494991, 0.0032291692681892807, 0.0032195673518781763, 0.0032198120800696044, 0.0032197239026273746, 0.0032569398573272113, 0.9224846822243679, 0.0032198945243733586, 0.003219770071255573, 0.0032304136092913232, 0.0032260020821080213, 0.0032200868660599187, 0.0032215096745782973, 0.0032195803724635046, 0.0032221406494258877, 0.0032207393020599055, 0.0032686694211752068, 0.0032195553179350483, 0.003234014851514125]",12
1317996925149343744,2020-10-19 01:12:08,825618092659060737, id like to see a link of this if true and i love brooklyn dad been following for years im in wa state the area where pratt is from is very redneck very much trump country trucks guns manufacturing blue color a bit rural when he grew up here i hate this is true ,NA,1,37,mmpadellan,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,MichelleinIssy,"['id', 'like', 'to', 'see', 'a', 'link', 'of', 'this', 'if', 'true', 'and', 'i', 'love', 'brooklyn', 'dad', 'been', 'following', 'for', 'years', 'im', 'in', 'wa', 'state', 'the', 'area', 'where', 'pratt', 'is', 'from', 'is', 'very', 'redneck', 'very', 'much', 'trump', 'country', 'trucks', 'guns', 'manufacturing', 'blue', 'color', 'a', 'bit', 'rural', 'when', 'he', 'grew', 'up', 'here', 'i', 'hate', 'this', 'is', 'true']","['id', 'like', 'see', 'link', 'true', 'love', 'brooklyn', 'dad', 'following', 'years', 'im', 'wa', 'state', 'area', 'pratt', 'redneck', 'much', 'trump', 'country', 'trucks', 'guns', 'manufacturing', 'blue', 'color', 'bit', 'rural', 'grew', 'hate', 'true']","(23173,[0,4,16,24,31,38,56,85,112,173,176,276,366,764,795,831,1181,1330,1443,1810,3049,3198,3501,4451,5305,6706,7985,9158],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.001322482825050915,0.0012875939943929446,0.0012878457012675789,0.001286999685192782,0.0012869418027545018,0.001288113609543648,0.0012899407844741918,0.001290359794335524,0.0012865229169296676,0.0012866207090791594,0.001286585473817238,0.0013014567821578093,0.9690252689846903,0.0012866536534043766,0.0012866039225645698,0.001290857026816938,0.0012890942027781623,0.001286730512187469,0.0012872990592941336,0.0012865281198849525,0.0012875511936645124,0.0012869912223239285,0.0013061438500561627,0.0012865181082201097,0.0012922960651183776]","[0.001322482825050915, 0.0012875939943929446, 0.0012878457012675789, 0.001286999685192782, 0.0012869418027545018, 0.001288113609543648, 0.0012899407844741918, 0.001290359794335524, 0.0012865229169296676, 0.0012866207090791594, 0.001286585473817238, 0.0013014567821578093, 0.9690252689846903, 0.0012866536534043766, 0.0012866039225645698, 0.001290857026816938, 0.0012890942027781623, 0.001286730512187469, 0.0012872990592941336, 0.0012865281198849525, 0.0012875511936645124, 0.0012869912223239285, 0.0013061438500561627, 0.0012865181082201097, 0.0012922960651183776]",12
