tweet_id,created_at,user_id_str,text,hashtags,retweet_count,favorite_count,in_reply_to_screen_name,source,retweeted,lang,place_name,screen_name
1312178204497506304,2020-10-02 23:50:37,17852894,"To help Donald Trump get the full COVID-19 experience, let’s make sure he loses his job and is evicted from his home next month.",NA,155415,769199,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,en,NA,jordanzakarin
1312065485400346625,2020-10-02 16:22:43,939091,"I’m happy to report that Jill and I have tested negative for COVID. Thank you to everyone for your messages of concern. I hope this serves as a reminder: wear a mask, keep social distance, and wash your hands.",NA,128710,886385,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,en,NA,JoeBiden
1312013783607328769,2020-10-02 12:57:16,797633540561043456,"Just a reminder that we are paying for Trump’s healthcare as he gets COVID treatment. All while he doesn’t pay taxes. Yet, when 80% of Americans want to pay for their own healthcare through their own taxes, they’re called lazy freeloaders.",NA,122064,506320,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,BernerSanders
1318544289538990080,2020-10-20 13:27:10,143924524,"Biden- ""If you make over 400k a year your taxes will be higher.""

Guys from my high school that make 35K a year- https://t.co/eRp0Q6kUfv",NA,118795,541996,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,en,NA,DKEvanoff
1312460408192724992,2020-10-03 18:32:00,939091,"One month until Election Day. Let’s do this, America.",NA,113384,1138899,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,en,NA,JoeBiden
1321941986174226432,2020-10-29 22:28:24,116362700,"Just had a great meeting with @realdonaldtrump @potus besides what he’s done so far with criminal reform, the platinum plan is going to give the community real ownership. He listened to what we had to say today and assured he will and can get it done. 🤙🏾 https://t.co/Q9c5k1yMWf",NA,97764,421340,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,LilTunechi
1314170285562658816,2020-10-08 11:46:26,1073872069975306240,"Trump wants to drop the age limit for being on our parent’s insurance from 26 all the way down to 18. Before you decide not to vote, think about how many Black young adults who can’t afford to start paying for their own insurance at 18. Let’s not forget we’re still in a pandemic! https://t.co/qsZxa28oh9",NA,90997,204813,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,Earth2Terraaa
1311897769003618304,2020-10-02 05:16:16,1116508027031445506,i know Biden family groupchat bussin rn,NA,86717,762967,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,xxoorita
1317589850527322112,2020-10-17 22:14:34,102071743,"This is exactly the rhetoric that has put me, my family, and other government officials’ lives in danger while we try to save the lives of our fellow Americans. It needs to stop. https://t.co/EWkNQx3Ppx",NA,84447,319342,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,NA,GovWhitmer
1313531521656066048,2020-10-06 17:28:13,52783689,DO NOT LET THE POLLS CONVINCE YOU WE ARE SAFE YOU STILL NEED TO GO OUT AND VOTE https://t.co/FwtJc6qLg4,NA,75167,147261,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,en,Garden Grove,regallyjay
